seed,policy,interval,arrival_rate,arrivals,queue,utilization,offered_load_ratio,replicas_target,replicas_active,p95_ms,p99_ms,cvar95_ms,smoothed_cvar_ms,pressure,predicted_next_p99_ms,burst
508,keda_style,268,354.5802878843733,106119.0,0.0,0.4421625,0.884325,3,4,167.938381476446,231.98500315968295,205.77112073932577,274.46164544141556,0.37787807632853315,317.099966281557,0
508,keda_style,269,212.41588400359035,63717.0,0.0,0.3539833333333333,0.7079666666666666,2,3,167.938381476446,234.3844038644857,206.19267611989787,253.98095464496024,0.10937407302876209,278.4351854432311,0
508,keda_style,270,410.8422207842627,123971.0,63971.0,0.75,1.5,3,2,184.90350151785822,245.638641503401,221.25720344551996,244.16382928512814,26.117806439247065,35667.578603846116,0
508,keda_style,271,288.61054845247384,86732.0,60703.0,0.75,1.5,4,3,370.99304999204867,431.1312669732905,416.57695826012224,295.88776797762637,2.0449755523842064,33959.72168495273,0
508,keda_style,272,153.88232589683557,46033.0,0.0,0.4447333333333333,0.8894666666666666,4,4,374.56658465929837,433.0238079054326,420.0476558434222,333.1357343373651,0.005683355819049988,437.1148224892137,0
508,keda_style,273,394.32803790511207,118329.0,0.0,0.4930375,0.986075,4,4,374.56658465929837,433.0238079054326,420.0476558434222,359.20931078918215,5.014327099571836,608.506042783857,0
508,keda_style,274,239.5830729365438,72028.0,0.0,0.30011666666666664,0.6002333333333333,4,4,374.56658465929837,433.0238079054326,420.0476558434222,377.46081430545416,0.03527494527501186,453.3103997883425,0
508,keda_style,275,196.52822444648615,59255.0,0.0,0.24689583333333334,0.4937916666666667,3,4,373.6423942076336,433.0238079054326,419.45743692953573,390.05980109267864,0.01461288727425097,442.76666130263334,0
508,keda_style,276,99.14020206604951,29715.0,0.0,0.16508333333333333,0.33016666666666666,2,3,373.6423942076336,433.0238079054326,419.45743692953573,398.87909184373575,0.0075770444339842615,438.38564395624724,0
508,keda_style,277,260.45078021159674,77675.0,17675.0,0.6472916666666667,1.2945833333333334,3,2,373.6423942076336,433.0238079054326,419.45743692953573,405.05259536947574,35.310608210837074,10403.604374950346,0
508,keda_style,278,226.1549085067201,68042.0,0.0,0.47620555555555555,0.9524111111111111,3,3,373.6423942076336,433.0238079054326,419.45743692953573,409.3740478374937,0.19930288840396848,494.07633960689367,0
508,keda_style,279,184.77515427748443,55049.0,0.0,0.30582777777777775,0.6116555555555555,3,3,231.00203974060506,288.5253092902965,272.67634913242244,368.3647382259723,0.06833521529641406,465.7607470737426,0
508,keda_style,280,391.814060987495,117508.0,27508.0,0.6528222222222222,1.3056444444444444,4,3,172.8521440045849,233.7798669988112,210.12316732617987,320.8922669560346,22.50291816843913,15650.165985407639,0
